"first_name","last_name","gender","past_3_years_bike_related_purchases","dob","job_title","job_industry_category","wealth_segment","deceased_indicator","owns_car","tenure","address","postcode","state","country","property_valuation","Rank","Value","age","age_category"
"Morly","Genery","Male",69,"1970-03-22","Structural Engineer","Property","Mass Customer","N","No",16,"14 Mccormick Park","2113","NSW","Australia","11","1","1.72",53,"Middle adults"
"Ardelis","Forrester","Female",10,"1974-08-28","Senior Cost Accountant","Financial Services","Affluent Customer","N","No",10,"5 Colorado Crossing","3505","VIC","Australia","5","1","1.72",49,"Middle adults"
"Lucine","Stutt","Female",64,"1979-01-28","Account Representative III","Manufacturing","Affluent Customer","N","Yes",5,"207 Annamark Plaza","4814","QLD","Australia","1","4","1.70",44,"Middle adults"
"Melinda","Hadlee","Female",34,"1965-09-21","Financial Analyst","Financial Services","Affluent Customer","N","No",19,"115 Montana Place","2093","NSW","Australia","9","4","1.70",58,"Mature adults"
"Druci","Brandli","Female",39,"1951-04-29","Assistant Media Planner","Entertainment","High Net Worth","N","Yes",22,"89105 Pearson Terrace","4075","QLD","Australia","7","6","1.67",72,"Seniors"
"Rutledge","Hallt","Male",23,"1976-10-06","Compensation Analyst","Financial Services","Mass Customer","N","No",8,"7 Nevada Crossing","2620","NSW","Australia","7","6","1.67",47,"Middle adults"
"Barthel","Docket","Male",72,"1985-08-02","Accounting Assistant IV","IT","Mass Customer","N","Yes",17,"80 Scofield Junction","4151","QLD","Australia","5","10","1.64",38,"Middle adults"
"Rockwell","Matson","Male",94,"1995-01-01","Programmer Analyst I","Retail","High Net Worth","N","No",3,"3682 Crowley Point","4573","QLD","Australia","6","10","1.64",28,"Young adults"
"Nobe","McAughtry","Male",25,"1978-12-14",NULL,"n/a","Mass Customer","N","No",12,"1 Orin Hill","4510","QLD","Australia","5","89","1.31",45,"Middle adults"
"Griffith","Escot","Male",50,"1946-10-23","Accountant III","IT","Mass Customer","N","Yes",16,"94 Manitowish Court","4116","QLD","Australia","3","104","1.29",77,"Seniors"
"Feodor","Englishby","Male",54,"1961-08-14","Account Coordinator","Health","Mass Customer","N","No",11,"24695 Boyd Road","3201","VIC","Australia","5","154","1.20",62,"Mature adults"
"Skippie","Yearsley","Male",6,"1956-09-04","Compensation Analyst","Financial Services","Mass Customer","N","No",9,"95306 John Wall Avenue","4350","QLD","Australia","5","155","1.20",67,"Seniors"
"Ellsworth","Andrieux","Male",49,"1971-04-26","Senior Cost Accountant","Financial Services","Affluent Customer","N","Yes",10,"08912 Carberry Place","4036","QLD","Australia","7","248","1.08",52,"Middle adults"
"Federico","Leuty","Male",59,"1978-12-11","Product Engineer","Property","High Net Worth","N","Yes",11,"720 Menomonie Crossing","2380","NSW","Australia","4","249","1.08",45,"Middle adults"
"Bogey","Attew","Male",88,"1992-11-18","Software Engineer II","IT","Mass Customer","N","Yes",10,"4 Monterey Road","4165","QLD","Australia","9","259","1.06",31,"Young adults"
"Shelli","Bartholomaus","Female",88,"1963-05-11","Associate Professor","Health","Mass Customer","N","Yes",6,"356 Carberry Avenue","3082","VIC","Australia","7","291","1.04",60,"Mature adults"
"Bessy","Saladin","Female",22,"1939-12-22","VP Marketing","Manufacturing","Mass Customer","N","Yes",16,"60073 Pankratz Pass","4075","QLD","Australia","10","341","0.99",84,"Seniors"
"Packston","Wackett","Male",10,"1950-04-26","Quality Engineer","Financial Services","Mass Customer","N","No",19,"7 Northridge Court","3192","VIC","Australia","9","386","0.95",73,"Seniors"
"Hanson","Eastes","Male",74,"1990-05-20",NULL,"Manufacturing","Mass Customer","N","Yes",5,"5735 Starling Plaza","3056","VIC","Australia","9","395","0.94",33,"Young adults"
"Demetria","Bausor","Female",73,"1961-12-22","Assistant Media Planner","Entertainment","Mass Customer","N","Yes",9,"97 Transport Plaza","2097","NSW","Australia","12","396","0.94",62,"Mature adults"
"Melany","Ladewig","Female",76,"1972-05-17","Research Associate","Financial Services","Mass Customer","N","Yes",10,"3864 Sheridan Alley","4130","QLD","Australia","7","444","0.90",51,"Middle adults"
"Claudette","Renackowna","Female",55,"1996-02-11","Administrative Officer","Manufacturing","Mass Customer","N","No",2,"0800 Dahle Alley","2148","NSW","Australia","8","492","0.87",27,"Young adults"
"Elianora","Poolton","Female",15,"1944-06-14","Programmer II","n/a","Mass Customer","N","Yes",21,"5 Macpherson Drive","3134","VIC","Australia","9","494","0.87",79,"Seniors"
"Park",NULL,"Male",39,"1977-11-08","Nurse Practicioner","IT","Affluent Customer","N","No",14,"07 Boyd Drive","4350","QLD","Australia","7","495","0.86",46,"Middle adults"
"Andree","Breeds","Female",31,"1954-10-19","Senior Editor","Financial Services","Affluent Customer","N","Yes",11,"93 Scofield Pass","3152","VIC","Australia","6","637","0.74",69,"Seniors"
"Yardley","Matten","Male",35,"1991-03-06","Junior Executive","Financial Services","Mass Customer","N","No",15,"74 Everett Court","4408","QLD","Australia","2","733","0.66",32,"Young adults"
"Winn","Wells","Male",66,"1994-04-12","Analyst Programmer","Manufacturing","Affluent Customer","N","No",9,"544 Pawling Road","2230","NSW","Australia","10","785","0.62",29,"Young adults"
"Jeno","Strafford","Male",67,"1941-07-21","Tax Accountant","Financial Services","High Net Worth","N","No",7,"891 Sachtjen Hill","4170","QLD","Australia","9","879","0.54",82,"Seniors"
"Ogdan","Blenkinship","Male",65,"1951-01-18","Occupational Therapist","Health","Mass Customer","N","Yes",21,"21712 Texas Court","3429","VIC","Australia","5","930","0.48",72,"Seniors"
"Tyne","Anshell","Female",71,"1992-04-08","Mechanical Systems Engineer","n/a","Mass Customer","N","Yes",3,"93 Sutherland Terrace","2560","NSW","Australia","8","979","0.42",31,"Young adults"
"Leona","Shorrock","Female",83,"1951-08-23","Senior Quality Engineer","Financial Services","Affluent Customer","N","Yes",22,"1560 Grim Avenue","4720","QLD","Australia","1","979","0.42",72,"Seniors"
"Yorgos","Dewhurst","Male",6,"1950-09-09","Software Consultant","Agriculture","Affluent Customer","N","No",16,"4 Talmadge Road","4701","QLD","Australia","1","760","0.64",73,"Seniors"
"Manny","Mandy","Male",36,"1977-01-28","Account Representative III","Agriculture","Mass Customer","N","No",16,"6 Union Center","4280","QLD","Australia","7","820","0.58",46,"Middle adults"
"Bertrando","Carass","Male",45,"1956-06-25","Sales Associate","Property","Mass Customer","N","No",8,"1 Quincy Road","2565","NSW","Australia","5","983","0.41",67,"Seniors"
"Augusta","Munns","Female",5,"1951-09-17","Quality Control Specialist","n/a","Mass Customer","N","No",21,"607 Memorial Avenue","2074","NSW","Australia","11","983","0.41",72,"Seniors"
"Lauralee","Fudge","Female",83,"1987-09-21","Research Nurse","Health","Mass Customer","N","No",15,"9460 Monument Park","3277","VIC","Australia","4","985","0.41",36,"Middle adults"
"Consalve","Ballay","Male",41,"1959-09-18","Web Developer I","IT","Mass Customer","N","Yes",7,"72 Village Terrace","2250","NSW","Australia","8","987","0.40",64,"Mature adults"
"Lolly","Prewer","Female",44,"1997-10-23","Geologist I","Health","Mass Customer","N","No",15,"694 Coolidge Center","2620","NSW","Australia","7","988","0.40",26,"Young adults"
"Vyky","Pegg","Female",64,"1943-03-15","Quality Control Specialist","Manufacturing","Mass Customer","N","Yes",11,"31854 Anniversary Terrace","2322","NSW","Australia","7","988","0.40",80,"Seniors"
"Kellen","Pawelski","Female",83,"1945-07-26",NULL,"Manufacturing","High Net Worth","N","Yes",11,"125 Manufacturers Parkway","2193","NSW","Australia","8","988","0.40",78,"Seniors"
"Jermaine","Bagshawe","Female",60,"1954-05-14","Help Desk Operator","Property","Mass Customer","N","Yes",9,"260 Briar Crest Drive","4209","QLD","Australia","6","988","0.40",69,"Seniors"
"Bryan","Jachtym","Male",59,"1974-05-15","Automation Specialist I","Manufacturing","Mass Customer","N","Yes",15,"56 Moland Crossing","3356","VIC","Australia","3","988","0.40",49,"Middle adults"
"Renie","Laundon","Female",32,"1973-12-18","Assistant Media Planner","Entertainment","Mass Customer","N","Yes",8,"1 Shelley Pass","4118","QLD","Australia","3","993","0.39",50,"Middle adults"
"Weidar","Etheridge","Male",38,"1959-07-13","Compensation Analyst","Financial Services","Mass Customer","N","Yes",6,"0535 Jay Point","2422","NSW","Australia","4","994","0.38",64,"Mature adults"
"Datha","Fishburn","Female",15,"1990-07-02","Office Assistant IV","Retail","Mass Customer","N","No",3,"6 Caliangt Way","3079","VIC","Australia","12","994","0.38",33,"Young adults"
"Ferdinand","Romanetti","Male",60,"1959-10-07","Paralegal","Financial Services","Affluent Customer","N","No",9,"2 Sloan Way","2200","NSW","Australia","7","996","0.37",64,"Mature adults"
"Burk","Wortley","Male",22,"2001-10-17","Senior Sales Associate","Health","Mass Customer","N","No",6,"04 Union Crossing","2196","NSW","Australia","10","997","0.36",22,"Young adults"
"Melloney","Temby","Female",17,"1954-10-05","Budget/Accounting Analyst IV","Financial Services","Affluent Customer","N","Yes",15,"33475 Fair Oaks Junction","4702","QLD","Australia","2","997","0.36",69,"Seniors"
"Isak","Bergstram","Male",14,"2001-03-08","Pharmacist","Health","Affluent Customer","N","Yes",15,"68 Karstens Pass","2176","NSW","Australia","9","142","1.24",22,"Young adults"
"Dory","Malpass","Female",19,"1972-08-27",NULL,"n/a","Affluent Customer","N","Yes",13,"3653 Steensland Road","4103","QLD","Australia","8","455","0.89",51,"Middle adults"
"Kamila","Parsonage","Female",80,"1954-03-08",NULL,"Property","Mass Customer","N","No",5,"31 Mccormick Court","4131","QLD","Australia","8","562","0.81",69,"Seniors"
"Kellyann","Adshad","Female",62,"1940-06-07",NULL,"n/a","Mass Customer","N","Yes",22,"29 Tennyson Alley","2161","NSW","Australia","9","620","0.75",83,"Seniors"
"Willard","Booton","Male",69,"1938-09-02",NULL,"Health","High Net Worth","N","Yes",7,"05 Ronald Regan Alley","2121","NSW","Australia","9","688","0.70",85,"Seniors"
"Antonin","Britt","Male",64,"1993-08-28",NULL,"Manufacturing","Affluent Customer","N","Yes",8,"011 Northland Trail","2160","NSW","Australia","9","40","1.43",30,"Young adults"
"Dickie","Cubbini","Male",30,"1952-12-17","Financial Advisor","Financial Services","Mass Customer","N","Yes",19,"57666 Victoria Way","4215","QLD","Australia","2","997","0.36",71,"Seniors"
"Sylas","Duffill","Male",56,"1955-10-02","Staff Accountant IV","Property","Mass Customer","N","Yes",14,"21875 Grover Drive","2010","NSW","Australia","9","1000","0.34",68,"Seniors"
"Adriena","Giffin","Female",27,"1957-03-17","Analog Circuit Design manager","Agriculture","Affluent Customer","N","Yes",5,"1 Manitowish Court","2259","NSW","Australia","9","888","0.53",66,"Seniors"
"Wheeler","Winward","Male",48,"1999-08-30","Environmental Specialist","Manufacturing","Mass Customer","N","No",10,"3 Golden Leaf Point","3216","VIC","Australia","8","12","1.63",24,"Young adults"
"Olag",NULL,"Male",60,"1990-05-13","Human Resources Manager","Telecommunications","Mass Customer","N","No",9,"0484 North Avenue","2032","NSW","Australia","11","13","1.61",33,"Young adults"
"Melba","Spellacy","Female",38,"1976-12-09","VP Marketing","Health","Mass Customer","N","No",4,"0591 Anzinger Circle","2232","NSW","Australia","10","14","1.59",47,"Middle adults"
"Mandie","Feares","Female",32,"1964-04-19","Clinical Specialist","Health","Mass Customer","N","No",10,"39 Kedzie Pass","4053","QLD","Australia","8","14","1.59",59,"Mature adults"
"Dukie","Swire","Male",88,"1954-03-31",NULL,"Manufacturing","Affluent Customer","N","Yes",5,"64 Granby Parkway","2500","NSW","Australia","8","16","1.56",69,"Seniors"
"Marcelia","Monkleigh","Female",61,"1993-08-22","Associate Professor","Manufacturing","Mass Customer","N","Yes",4,"610 Swallow Street","4051","QLD","Australia","6","17","1.55",30,"Young adults"
"Winnifred","Beswetherick","Female",83,"1976-06-08","Actuary","Financial Services","Mass Customer","N","No",14,"61 4th Street","3040","VIC","Australia","10","17","1.55",47,"Middle adults"
"Hussein","Tapenden","Male",19,"1953-10-19","Pharmacist","Health","Affluent Customer","N","Yes",12,"0197 Sachs Avenue","2747","NSW","Australia","8","349","0.99",70,"Seniors"
"Jodi","Lermit","Female",94,"1954-01-30",NULL,"Health","Mass Customer","N","Yes",10,"05 Corry Center","4021","QLD","Australia","2","513","0.84",69,"Seniors"
"Dmitri",NULL,"Male",72,"1991-02-06",NULL,"Financial Services","High Net Worth","N","Yes",15,"4 Mallory Pass","3690","VIC","Australia","4","810","0.59",32,"Young adults"
"Odilia","Quick","Female",65,"1938-11-09","General Manager","Manufacturing","Affluent Customer","N","Yes",11,"1550 Russell Way","2222","NSW","Australia","11","19","1.53",85,"Seniors"
"Karly","Willavize","Female",2,"1954-08-12","Internal Auditor","Manufacturing","High Net Worth","N","No",12,"193 North Point","2190","NSW","Australia","10","19","1.53",69,"Seniors"
"Teddie","Burchill","Male",11,"1968-12-21","Programmer I","Manufacturing","Mass Customer","N","Yes",13,"321 Raven Plaza","2161","NSW","Australia","9","21","1.52",55,"Mature adults"
"Gaston","Dallaghan","Male",44,"1993-09-29","Financial Analyst","Financial Services","Mass Customer","N","Yes",8,"656 Fuller Street","2783","NSW","Australia","7","21","1.52",30,"Young adults"
"Otis","Ottey","Male",26,"1998-02-05","Quality Engineer","n/a","Mass Customer","N","No",3,"1562 Merchant Street","4744","QLD","Australia","4","23","1.50",25,"Young adults"
"Tabbatha","Averill","Female",5,"1977-12-17","Quality Control Specialist","n/a","Affluent Customer","N","Yes",13,"663 8th Parkway","2257","NSW","Australia","8","23","1.50",46,"Middle adults"
"Brena","Schnitter","Female",78,"1982-10-11","Account Executive","Manufacturing","Mass Customer","N","No",4,"67 Shelley Street","4703","QLD","Australia","5","25","1.48",41,"Middle adults"
"Rourke","Gillbard","Male",11,"1945-08-03",NULL,"Property","Mass Customer","N","No",17,"75 Cordelia Trail","4817","QLD","Australia","4","26","1.47",78,"Seniors"
"Dyane","Burwell","Female",19,"1952-06-27","Engineer II","Retail","Mass Customer","N","Yes",7,"51 Hooker Court","2640","NSW","Australia","2","26","1.47",71,"Seniors"
"Claudine","Barstowk","Female",71,"1966-07-20","Nurse","Property","High Net Worth","N","Yes",5,"1859 Forest Circle","4000","QLD","Australia","11","26","1.47",57,"Mature adults"
"Blinnie","Roze","Female",84,"1960-12-10","Librarian","Entertainment","High Net Worth","N","No",11,"44557 Rutledge Court","4171","QLD","Australia","7","26","1.47",63,"Mature adults"
"Rhona","De Freyne","Female",45,"1960-11-22",NULL,"Health","High Net Worth","N","No",8,"11184 East Drive","3056","VIC","Australia","10","30","1.46",63,"Mature adults"
"Sharron","Claibourn","Female",62,"1980-01-26",NULL,"Financial Services","High Net Worth","N","Yes",17,"555 Hermina Avenue","2280","NSW","Australia","8","30","1.46",43,"Middle adults"
"Brien","Heaton","Male",70,"1951-11-28","Clinical Specialist","Health","Mass Customer","N","Yes",12,"8 Novick Trail","2470","NSW","Australia","2","32","1.45",72,"Seniors"
"Sybilla","MacCart","Female",88,"1987-01-15","Paralegal","Financial Services","Mass Customer","N","Yes",7,"74 Welch Pass","2620","NSW","Australia","7","32","1.45",36,"Middle adults"
"Mikel","McNess","Male",71,"1981-09-22","Nurse","n/a","Mass Customer","N","No",9,"3 Pleasure Drive","4122","QLD","Australia","9","32","1.45",42,"Middle adults"
"Maisie","Maddox","Female",27,"1977-05-09","Assistant Manager","Financial Services","Affluent Customer","N","No",20,"8 Dennis Point","3226","VIC","Australia","9","32","1.45",46,"Middle adults"
"Arleen","Casbolt","Female",48,"1975-05-10","Senior Quality Engineer","Financial Services","Affluent Customer","N","Yes",13,"41042 Lotheville Crossing","4817","QLD","Australia","1","36","1.45",48,"Middle adults"
"Farlie","Petford","Male",76,"1968-03-25","Recruiting Manager","n/a","High Net Worth","N","No",13,"2330 Butternut Trail","2017","NSW","Australia","10","36","1.45",55,"Mature adults"
"Mitchell","MacCague","Male",58,"1979-04-11",NULL,"Manufacturing","Mass Customer","N","No",15,"240 Acker Avenue","3190","VIC","Australia","8","38","1.44",44,"Middle adults"
"Garik","Whitwell","Male",44,"1955-06-13",NULL,"Property","Mass Customer","N","Yes",13,"04 Dexter Way","3280","VIC","Australia","2","38","1.44",68,"Seniors"
"Vinny","Incogna","Female",73,"1953-02-13",NULL,"Health","High Net Worth","N","No",10,"8 Grayhawk Circle","2756","NSW","Australia","8","40","1.43",70,"Seniors"
"Colene","Fishleigh","Female",24,"1985-03-14","Design Engineer","Financial Services","Mass Customer","N","No",3,"44 Darwin Lane","3149","VIC","Australia","10","42","1.42",38,"Middle adults"
"Neile","Argent","Female",79,"1946-10-25",NULL,"Retail","Mass Customer","N","No",8,"2548 Arrowood Pass","2024","NSW","Australia","10","42","1.42",77,"Seniors"
"Corinna","Suggey","Female",52,"1966-09-18","Design Engineer","n/a","Affluent Customer","N","No",9,"938 Ilene Road","2761","NSW","Australia","8","44","1.42",57,"Mature adults"
"Brooke","Arling","Male",76,"1961-12-05",NULL,"n/a","High Net Worth","N","No",6,"6 Melby Center","3027","VIC","Australia","5","44","1.42",62,"Mature adults"
"Gipsy","Ewestace","Female",29,"1956-08-30","Business Systems Development Analyst","Retail","High Net Worth","N","Yes",5,"08708 Moulton Park","2034","NSW","Australia","12","46","1.41",67,"Seniors"
"Sheena","Kybbye","Female",14,"1956-07-16","Paralegal","Financial Services","Affluent Customer","N","Yes",19,"306 Clemons Junction","4852","QLD","Australia","1","46","1.41",67,"Seniors"
"Jobina","Gobourn","Female",85,"1994-12-04","VP Quality Control","n/a","High Net Worth","N","Yes",14,"18 Grim Road","4305","QLD","Australia","4","46","1.41",29,"Young adults"
"Gale","Disbrow","Female",59,"1977-05-14","Cost Accountant","Financial Services","Mass Customer","N","Yes",17,"169 Bashford Drive","3741","VIC","Australia","7","46","1.41",46,"Middle adults"
"Heinrick","Shilstone","Male",60,"1978-02-11",NULL,"Manufacturing","Affluent Customer","N","No",10,"998 Gale Park","3174","VIC","Australia","8","50","1.41",45,"Middle adults"
"Taylor","Steuhlmeyer","Male",62,"1999-03-22","Paralegal","Financial Services","Affluent Customer","N","Yes",5,"64 Mcguire Trail","4017","QLD","Australia","8","52","1.39",24,"Young adults"
"Odessa","Mc Andrew","Female",97,"1981-12-01",NULL,"Property","Mass Customer","N","No",8,"31756 Meadow Valley Lane","2232","NSW","Australia","10","54","1.38",42,"Middle adults"
"Lavena","Seekings","Female",87,"1995-03-25","Payment Adjustment Coordinator","Retail","Mass Customer","N","No",16,"293 Mayfield Street","3166","VIC","Australia","10","54","1.38",28,"Young adults"
"Martelle","Tuppeny","Female",52,"1981-02-03","Marketing Assistant","Manufacturing","Mass Customer","N","No",9,"261 Grayhawk Way","2226","NSW","Australia","10","54","1.38",42,"Middle adults"
"Marylou","Kirkup","Female",51,"1972-10-31","VP Product Management","n/a","Mass Customer","N","No",14,"76733 Sunbrook Terrace","3196","VIC","Australia","9","57","1.38",51,"Middle adults"
"Whittaker",NULL,"Male",64,"1966-07-29","Media Manager III","n/a","Mass Customer","N","Yes",8,"683 Florence Way","3156","VIC","Australia","5","57","1.38",57,"Mature adults"
"Lorrie","Antonelli","Male",47,"1983-02-11","Cost Accountant","Financial Services","High Net Worth","N","Yes",17,"06936 Bobwhite Circle","2257","NSW","Australia","7","57","1.38",40,"Middle adults"
"Kaine","Smallcombe","Male",59,"1942-02-06","Senior Financial Analyst","Financial Services","High Net Worth","N","No",11,"9 Mosinee Parkway","2072","NSW","Australia","10","62","1.37",81,"Seniors"
"Loise","Iltchev","Female",70,"1967-03-18","Electrical Engineer","Manufacturing","High Net Worth","N","Yes",17,"45 Becker Place","4504","QLD","Australia","6","62","1.37",56,"Mature adults"
"Cristen","Maroney","Female",22,"1999-11-21","Accountant IV","IT","High Net Worth","N","Yes",7,"27 Karstens Crossing","4214","QLD","Australia","7","65","1.36",24,"Young adults"
"Dorothy","Barnardo","Female",58,"1983-02-01","Human Resources Manager","Retail","High Net Worth","N","No",12,"9630 Cottonwood Avenue","2168","NSW","Australia","8","65","1.36",40,"Middle adults"
"Rosmunda","Duxbarry","Female",69,"1996-07-20","Executive Secretary","Property","Affluent Customer","N","Yes",5,"989 Graedel Terrace","4208","QLD","Australia","11","65","1.36",27,"Young adults"
"Rozamond","Riha","Female",54,"1984-10-07","Account Representative I","Manufacturing","Affluent Customer","N","Yes",16,"76 Bartelt Center","4078","QLD","Australia","7","68","1.35",39,"Middle adults"
"Gunner","Petti","Male",62,"1999-06-08","Executive Secretary","Financial Services","High Net Worth","N","Yes",3,"29778 Mendota Drive","4036","QLD","Australia","5","68","1.35",24,"Young adults"
"Vivienne","Crayden","Female",82,"1988-09-18","Associate Professor","n/a","High Net Worth","N","Yes",6,"69 Algoma Center","4173","QLD","Australia","7","68","1.35",35,"Middle adults"
"Sherilyn","Canero","Female",11,"1996-08-03","Dental Hygienist","Health","High Net Worth","N","Yes",13,"8288 Lyons Way","2484","NSW","Australia","7","68","1.35",27,"Young adults"
"Bessie","Roscow","Female",78,"1994-08-04","GIS Technical Architect","Financial Services","Mass Customer","N","No",9,"4185 Florence Trail","2121","NSW","Australia","10","72","1.35",29,"Young adults"
"Kevina","Ferandez","Female",73,"1999-09-21","Assistant Professor","Financial Services","High Net Worth","N","No",15,"9608 Heffernan Drive","4068","QLD","Australia","9","72","1.35",24,"Young adults"
"Yancy","Clementet","Male",5,"1968-02-16","Mechanical Systems Engineer","n/a","High Net Worth","N","No",15,"9 Union Center","2147","NSW","Australia","9","72","1.35",55,"Mature adults"
"Mabelle","Wellbelove","Female",76,"1958-04-21",NULL,"Financial Services","Affluent Customer","N","Yes",19,"800 Emmet Park","2219","NSW","Australia","9","72","1.35",65,"Seniors"
"Hasheem","Groucock","Male",98,"1974-09-17","Budget/Accounting Analyst IV","Manufacturing","High Net Worth","N","Yes",10,"12351 Spenser Pass","2034","NSW","Australia","12","72","1.35",49,"Middle adults"
"Tobias","Woodhams","Male",0,"1961-04-15","Research Nurse","Health","Mass Customer","N","No",17,"4 Valley Edge Plaza","2759","NSW","Australia","9","77","1.34",62,"Mature adults"
"Glennis","Flintoff","Female",36,"1956-10-22","Speech Pathologist","Health","Affluent Customer","N","Yes",13,"1601 Rutledge Lane","3030","VIC","Australia","7","78","1.34",67,"Seniors"
"Chanda","Mensler","Female",15,"1972-01-14","Computer Systems Analyst IV","Manufacturing","Mass Customer","N","Yes",13,"0 Mockingbird Plaza","2212","NSW","Australia","10","78","1.34",51,"Middle adults"
"Katheryn","Kinner","Female",15,"1973-11-28","Analyst Programmer","Entertainment","High Net Worth","N","No",6,"1665 Kenwood Center","2518","NSW","Australia","6","78","1.34",50,"Middle adults"
"Sumner","Carrivick","Male",53,"1995-04-09","Desktop Support Technician","Manufacturing","Mass Customer","N","No",15,"5 4th Center","2097","NSW","Australia","12","78","1.34",28,"Young adults"
"Valerie","Pickover","Female",34,"1965-09-08","Editor","Financial Services","Mass Customer","N","No",9,"92214 Spenser Road","2756","NSW","Australia","8","78","1.34",58,"Mature adults"
"Esther","Rooson","Female",14,"1981-02-22",NULL,"Financial Services","Mass Customer","N","No",5,"5186 Main Trail","2046","NSW","Australia","9","78","1.34",42,"Middle adults"
"Gardie","Crellim","Male",58,"1975-09-12","Biostatistician IV","Manufacturing","High Net Worth","N","No",8,"564 Forest Dale Avenue","3161","VIC","Australia","12","84","1.33",48,"Middle adults"
"Sean","O'Loughlin","Male",48,"1961-03-22","Database Administrator III","Manufacturing","High Net Worth","N","Yes",16,"83 Old Gate Point","2576","NSW","Australia","10","85","1.33",62,"Mature adults"
