"customer_id","rfm_score","group_name","gender","age_category","job_industry_category","wealth_segment","owns_car","address","postcode","state","past_3_years_bike_related_purchases"
2733,455,"01- Champions","Female","Middle adults","Manufacturing","Mass Customer","Yes","81254 Buhler Trail",4740,"QLD",89
2170,445,"01- Champions","Male","Mature adults","Manufacturing","Affluent Customer","No","5 Muir Circle",2030,"NSW",27
407,554,"01- Champions","Female","Middle adults","","High Net Worth","Yes","78152 Harper Parkway",2756,"NSW",82
1578,445,"01- Champions","Male","Middle adults","Health","High Net Worth","Yes","7317 Huxley Alley",2112,"NSW",60
793,555,"01- Champions","Female","Young adults","Financial Services","High Net Worth","Yes","57 Gulseth Terrace",2099,"NSW",97
2993,554,"01- Champions","Female","Young adults","Financial Services","Affluent Customer","No","Cordelia Trail",2138,"NSW",85
1074,454,"01- Champions","Male","Middle adults","","High Net Worth","Yes","4 Quincy Trail",2800,"NSW",43
2427,544,"01- Champions","Female","Young adults","","High Net Worth","Yes","96 Hintze Point",2147,"NSW",20
239,555,"01- Champions","Male","Young adults","Health","Affluent Customer","No","95 Eliot Street",4514,"QLD",62
2308,555,"01- Champions","Female","Mature adults","Financial Services","Mass Customer","Yes","Marcy Crossing",3115,"VIC",52
3217,555,"01- Champions","Female","Mature adults","Manufacturing","Mass Customer","No","17 Nevada Drive",2122,"NSW",95
37,555,"01- Champions","Female","Middle adults","Health","High Net Worth","No","54 Sage Plaza",4726,"QLD",46
844,455,"01- Champions","Male","Middle adults","Financial Services","High Net Worth","No","69 Hovde Plaza",2680,"NSW",13
1232,555,"01- Champions","Male","Mature adults","Property","Affluent Customer","No","61949 7th Road",4573,"QLD",83
1152,454,"01- Champions","Male","Young adults","Financial Services","Mass Customer","Yes","893 Petterle Trail",4551,"QLD",47
2130,554,"01- Champions","Female","Young adults","Property","High Net Worth","Yes","26064 Morningstar Junction",2480,"NSW",95
2728,554,"01- Champions","Female","Mature adults","IT","High Net Worth","No","512 Forest Run Center",3188,"VIC",55
419,545,"01- Champions","Female","Middle adults","Manufacturing","Affluent Customer","No","7526 Artisan Parkway",4223,"QLD",34
270,545,"01- Champions","Female","Middle adults","","Mass Customer","Yes","90173 Oneill Place",3071,"VIC",38
1106,455,"01- Champions","Female","Mature adults","Retail","Mass Customer","No","9 Superior Plaza",3185,"VIC",2
768,555,"01- Champions","Female","Middle adults","Agriculture","Affluent Customer","Yes","6495 Swallow Terrace",2759,"NSW",5
3227,544,"01- Champions","Male","Young adults","Manufacturing","Affluent Customer","No","37363 Morning Park",3108,"VIC",37
2683,445,"01- Champions","Female","Mature adults","","Affluent Customer","Yes","25567 Linden Court",4564,"QLD",81
1991,555,"01- Champions","Male","Young adults","Health","Mass Customer","Yes","42554 Burrows Court",2117,"NSW",35
58,454,"01- Champions","Female","Mature adults","Financial Services","Affluent Customer","Yes","18 Elgar Park",2166,"NSW",26
1953,544,"01- Champions","Female","Middle adults","Financial Services","High Net Worth","No","299 Pine View Parkway",3121,"VIC",23
3117,455,"01- Champions","Female","Young adults","Financial Services","Affluent Customer","Yes","73 Fremont Alley",3805,"VIC",68
3013,554,"01- Champions","Female","Mature adults","Property","High Net Worth","No","399 Butterfield Crossing",4115,"QLD",94
2585,544,"01- Champions","Male","Young adults","","Affluent Customer","No","83441 Donald Pass",4565,"QLD",15
1291,445,"01- Champions","Male","Middle adults","Health","Mass Customer","No","8 Kinsman Alley",4304,"QLD",0
706,445,"01- Champions","Male","Young adults","Financial Services","High Net Worth","Yes","8 Dottie Court",3480,"VIC",44
1358,554,"01- Champions","Male","Young adults","Health","High Net Worth","No","19 Green Ridge Avenue",3340,"VIC",8
545,545,"01- Champions","Female","Middle adults","Health","Mass Customer","Yes","142 Cambridge Place",2761,"NSW",43
2826,555,"01- Champions","Female","Mature adults","","Mass Customer","No","9 Springview Terrace",3121,"VIC",73
182,545,"01- Champions","Male","Young adults","Financial Services","Affluent Customer","Yes","83012 Dapin Lane",4300,"QLD",99
2680,454,"01- Champions","Female","Mature adults","Financial Services","Mass Customer","Yes","4658 Tennessee Street",3121,"VIC",0
820,555,"01- Champions","Female","Middle adults","Financial Services","High Net Worth","No","58047 Westport Road",2040,"NSW",12
2385,455,"01- Champions","Male","Seniors","Health","Mass Customer","No","1816 Monument Park",3074,"VIC",70
2822,555,"01- Champions","Female","Middle adults","","Mass Customer","No","99216 Oakridge Hill",3124,"VIC",83
3388,454,"01- Champions","Male","Middle adults","Retail","Mass Customer","No","72728 Ruskin Way",2291,"NSW",81
611,554,"01- Champions","Male","Middle adults","Manufacturing","Mass Customer","Yes","83 Ryan Hill",4551,"QLD",58
2204,454,"01- Champions","Female","Mature adults","Entertainment","High Net Worth","No","94 Vernon Parkway",2762,"NSW",16
1885,555,"01- Champions","Male","Middle adults","Health","High Net Worth","Yes","83148 Rowland Alley",2530,"NSW",18
1599,455,"01- Champions","Male","Young adults","","Affluent Customer","No","2390 Blackbird Point",2035,"NSW",65
2033,544,"01- Champions","Male","Middle adults","Health","High Net Worth","No","1 Sloan Avenue",2176,"NSW",36
1233,455,"01- Champions","Female","Middle adults","Retail","Affluent Customer","Yes","26 Lotheville Court",2085,"NSW",17
3251,555,"01- Champions","Female","Middle adults","Financial Services","High Net Worth","Yes","11 Mifflin Junction",2193,"NSW",95
2458,545,"01- Champions","Female","Mature adults","Manufacturing","High Net Worth","Yes","6 Ryan Drive",2165,"NSW",73
1589,545,"01- Champions","Male","Young adults","Health","Mass Customer","Yes","78000 Arrowood Center",2775,"NSW",83
533,545,"01- Champions","Male","Middle adults","Retail","Mass Customer","No","1038 Hayes Point",2021,"NSW",40
906,454,"01- Champions","Male","Young adults","Financial Services","High Net Worth","Yes","1 Cottonwood Street",3150,"VIC",73
1763,544,"01- Champions","Female","Young adults","Manufacturing","Affluent Customer","Yes","8731 Coleman Lane",3352,"VIC",96
1967,445,"01- Champions","Female","Middle adults","Manufacturing","Affluent Customer","Yes","67104 Bunting Crossing",2043,"NSW",88
2369,555,"01- Champions","Female","Young adults","Financial Services","Mass Customer","Yes","1 Bay Pass",3219,"VIC",80
368,554,"01- Champions","Female","Middle adults","Financial Services","High Net Worth","No","382 Maywood Parkway",4127,"QLD",32
1068,555,"01- Champions","Male","Young adults","Health","Mass Customer","Yes","4297 Emmet Lane",2170,"NSW",5
2240,455,"01- Champions","Male","Middle adults","Manufacturing","High Net Worth","Yes","70 Old Gate Avenue",3043,"VIC",4
2574,455,"01- Champions","Male","Middle adults","Manufacturing","Mass Customer","No","15952 Mockingbird Court",2470,"NSW",73
3330,454,"01- Champions","Female","Seniors","Health","Mass Customer","Yes","75106 Oriole Junction",2030,"NSW",70
41,455,"01- Champions","Male","Middle adults","Health","Mass Customer","No","7188 Cody Way",3350,"VIC",64
720,455,"01- Champions","Male","Seniors","Retail","Affluent Customer","No","78 Glacier Hill Drive",2026,"NSW",67
3451,454,"01- Champions","Male","Middle adults","","High Net Worth","No","4233 Service Avenue",2340,"NSW",88
1706,555,"01- Champions","Male","Mature adults","Financial Services","High Net Worth","Yes","11 Victoria Place",2036,"NSW",32
1028,545,"01- Champions","Male","Young adults","","High Net Worth","No","15393 Cody Lane",2046,"NSW",10
1625,555,"01- Champions","Male","Middle adults","Property","Mass Customer","Yes","2 Southridge Crossing",2763,"NSW",20
2651,445,"01- Champions","Male","Middle adults","Manufacturing","Mass Customer","Yes","6876 Mandrake Avenue",2298,"NSW",10
934,555,"01- Champions","Male","Young adults","Manufacturing","Mass Customer","No","4 Eastlawn Crossing",2036,"NSW",76
344,555,"01- Champions","Female","Middle adults","","High Net Worth","Yes","85 Straubel Park",2147,"NSW",91
1691,554,"01- Champions","Male","Middle adults","","High Net Worth","Yes","91 Hoard Street",2229,"NSW",50
2548,555,"01- Champions","Female","Middle adults","","Mass Customer","No","12 Fairfield Parkway",3029,"VIC",11
1694,445,"01- Champions","Male","Mature adults","IT","Mass Customer","Yes","41 Dwight Way",3585,"VIC",11
1558,555,"01- Champions","Male","Young adults","Financial Services","Affluent Customer","No","7236 Jenifer Point",2763,"NSW",14
109,554,"01- Champions","Male","Middle adults","","Affluent Customer","Yes","41 Service Lane",2217,"NSW",16
576,545,"01- Champions","Male","Middle adults","Retail","Mass Customer","Yes","44 Bunting Parkway",2106,"NSW",98
200,555,"01- Champions","Male","Seniors","Property","Affluent Customer","Yes","7 Havey Point",4005,"QLD",7
634,454,"01- Champions","Female","Middle adults","Manufacturing","Mass Customer","No","4 Namekagon Pass",2326,"NSW",35
832,455,"01- Champions","Male","Middle adults","Retail","Mass Customer","No","44997 Anniversary Way",4114,"QLD",30
1331,555,"01- Champions","Male","Middle adults","Telecommunications","High Net Worth","No","2 Dixon Crossing",3910,"VIC",12
173,455,"01- Champions","Female","Young adults","Health","Affluent Customer","No","2 Randy Point",2766,"NSW",99
215,554,"01- Champions","Female","Middle adults","Retail","High Net Worth","Yes","Northport Court",4012,"QLD",37
3315,545,"01- Champions","Female","Young adults","Property","Mass Customer","Yes","6 North Court",3862,"VIC",77
1144,445,"01- Champions","Male","Young adults","Health","High Net Worth","Yes","4439 7th Terrace",2177,"NSW",73
1129,455,"01- Champions","Male","Middle adults","Entertainment","Mass Customer","Yes","1 Nevada Park",4226,"QLD",2
1830,545,"01- Champions","Male","Middle adults","Manufacturing","High Net Worth","No","717 Oakridge Way",2117,"NSW",98
2761,555,"01- Champions","Female","Mature adults","Financial Services","Mass Customer","No","8 Anderson Lane",2214,"NSW",78
3379,445,"01- Champions","Female","Young adults","Health","Mass Customer","Yes","Magdeline Way",3146,"VIC",51
3080,555,"01- Champions","Male","Seniors","Financial Services","High Net Worth","No","680 Veith Court",3939,"VIC",87
312,545,"01- Champions","Male","Seniors","Financial Services","Affluent Customer","Yes","252 Mockingbird Plaza",2216,"NSW",44
2464,555,"01- Champions","Male","Middle adults","Retail","Mass Customer","No","3126 Butterfield Pass",2573,"NSW",78
765,455,"01- Champions","Female","Middle adults","Retail","Affluent Customer","No","20554 Orin Place",3630,"VIC",50
2698,544,"01- Champions","Female","Middle adults","Health","High Net Worth","No","77196 West Crossing",2166,"NSW",19
237,454,"01- Champions","Male","Middle adults","Property","High Net Worth","Yes","4263 Hanson Place",2021,"NSW",18
760,455,"01- Champions","Male","Middle adults","","Mass Customer","Yes","6330 Monica Way",2540,"NSW",46
2879,555,"01- Champions","Female","Middle adults","Agriculture","Mass Customer","Yes","77433 Sunfield Court",3179,"VIC",62
432,455,"01- Champions","Male","Young adults","Manufacturing","Affluent Customer","Yes","9 Lukken Parkway",2065,"NSW",83
2770,455,"01- Champions","Male","Middle adults","Manufacturing","High Net Worth","Yes","3 Buena Vista Crossing",2444,"NSW",24
3057,445,"01- Champions","Female","Middle adults","","Mass Customer","No","40 Bowman Crossing",2031,"NSW",96
2076,455,"01- Champions","Female","Middle adults","Manufacturing","Mass Customer","Yes","63832 Maple Wood Court",3172,"VIC",73
2815,455,"01- Champions","Male","Seniors","Health","Mass Customer","No","69490 Orin Trail",3029,"VIC",50
1158,544,"01- Champions","Male","Middle adults","","Mass Customer","Yes","7975 Browning Plaza",3038,"VIC",85
1137,555,"01- Champions","Male","Middle adults","","Mass Customer","No","592 Merry Lane",3184,"VIC",46
1762,455,"01- Champions","Female","Middle adults","Health","Mass Customer","Yes","636 Debs Circle",3039,"VIC",49
886,554,"01- Champions","Female","Middle adults","Health","Mass Customer","No","923 Westerfield Junction",2065,"NSW",53
318,544,"01- Champions","Female","Middle adults","Retail","Affluent Customer","Yes","671 American Ash Way",2365,"NSW",21
2523,555,"01- Champions","Female","Mature adults","Financial Services","Mass Customer","Yes","9 Oak Park",4205,"QLD",28
2070,555,"01- Champions","Female","Middle adults","","Mass Customer","No","7949 Waywood Way",2318,"NSW",0
682,445,"01- Champions","Male","Middle adults","Health","Affluent Customer","Yes","3 Sheridan Park",2548,"NSW",53
1274,454,"01- Champions","Male","Middle adults","Manufacturing","Mass Customer","No","1075 Raven Place",4512,"QLD",12
2247,445,"01- Champions","Female","Young adults","Retail","High Net Worth","Yes","97 Randy Junction",2040,"NSW",17
973,555,"01- Champions","Female","Middle adults","Health","High Net Worth","No","42 Dahle Parkway",3806,"VIC",46
1853,455,"01- Champions","Female","Middle adults","","Mass Customer","Yes","867 Grim Terrace",3754,"VIC",67
2083,454,"01- Champions","Female","Middle adults","","Mass Customer","No","9 Beilfuss Crossing",2705,"NSW",5
1084,555,"01- Champions","Female","Young adults","Retail","Affluent Customer","No","24596 Hoepker Avenue",2322,"NSW",54
310,545,"01- Champions","Female","Middle adults","Financial Services","Mass Customer","Yes","6 Corry Pass",2450,"NSW",0
3044,555,"01- Champions","Male","Young adults","Health","Affluent Customer","Yes","4 Jenifer Hill",3147,"VIC",59
2603,445,"01- Champions","Female","Mature adults","Financial Services","High Net Worth","No","84 Stuart Lane",3146,"VIC",44
3382,454,"01- Champions","Male","Middle adults","","High Net Worth","No","40 Sauthoff Circle",3129,"VIC",90
2751,554,"01- Champions","Male","Middle adults","Retail","High Net Worth","Yes","25 Ronald Regan Point",4035,"QLD",94
2633,454,"01- Champions","Female","Middle adults","Property","Mass Customer","Yes","1945 Loomis Alley",2871,"NSW",47
2992,555,"01- Champions","Female","Middle adults","Health","Mass Customer","Yes","9610 Gateway Trail",3429,"VIC",26
1721,544,"01- Champions","Female","Middle adults","Financial Services","High Net Worth","No","Graedel Drive",4817,"QLD",82
151,545,"01- Champions","Male","Mature adults","Manufacturing","Mass Customer","Yes","34457 Springview Street",2759,"NSW",36
925,554,"01- Champions","Male","Middle adults","Manufacturing","Affluent Customer","No","3 Luster Junction",2323,"NSW",42
2937,545,"01- Champions","Female","Middle adults","Financial Services","Mass Customer","No","572 Spohn Drive",3046,"VIC",47
1353,454,"01- Champions","Female","Middle adults","Health","Mass Customer","Yes","5298 Nevada Circle",3500,"VIC",1
3181,545,"01- Champions","Male","Middle adults","Financial Services","High Net Worth","No","26 Randy Road",2642,"NSW",39
1957,455,"01- Champions","Male","Middle adults","Property","Affluent Customer","No","969 Gale Way",3108,"VIC",1
2036,455,"01- Champions","Female","Middle adults","","Mass Customer","No","18 Karstens Drive",2233,"NSW",11
1313,545,"01- Champions","Male","Middle adults","Property","Mass Customer","No","72 Shasta Plaza",4152,"QLD",59
2755,455,"01- Champions","Female","Young adults","Manufacturing","Mass Customer","Yes","2241 Pearson Plaza",4503,"QLD",66
1707,454,"01- Champions","Male","Young adults","Financial Services","High Net Worth","No","78 Colorado Park",4105,"QLD",18
790,455,"01- Champions","Female","Mature adults","","Affluent Customer","No","2353 Kropf Lane",3046,"VIC",22
987,455,"01- Champions","Male","Middle adults","Financial Services","Affluent Customer","Yes","9 Goodland Center",4213,"QLD",89
3007,544,"01- Champions","Male","Middle adults","Manufacturing","Mass Customer","No","5913 Ramsey Road",2478,"NSW",38
1086,555,"01- Champions","Male","Young adults","Property","Mass Customer","Yes","7258 Mandrake Terrace",3138,"VIC",84
1184,544,"01- Champions","Female","Mature adults","Health","Mass Customer","No","63588 Clove Court",2017,"NSW",89
1917,445,"01- Champions","Female","Middle adults","Agriculture","Affluent Customer","Yes","90128 Caliangt Place",2484,"NSW",7
3286,555,"01- Champions","Male","Mature adults","Entertainment","Mass Customer","No","1 Fairview Park",3977,"VIC",23
2929,555,"01- Champions","Male","Young adults","Retail","Mass Customer","No","415 Walton Lane",4883,"QLD",97
2374,545,"01- Champions","Male","Young adults","Financial Services","Mass Customer","No","43898 Prentice Court",3025,"VIC",6
1091,554,"01- Champions","Male","Middle adults","Health","Mass Customer","No","Fremont Court",3023,"VIC",19
729,555,"01- Champions","Female","Middle adults","Health","Affluent Customer","No","8044 Emmet Hill",3150,"VIC",30
723,454,"01- Champions","Female","Mature adults","Health","Mass Customer","Yes","68861 School Hill",2199,"NSW",41
3482,455,"01- Champions","Female","Young adults","Health","Affluent Customer","Yes","54613 Service Court",4069,"QLD",71
1049,454,"01- Champions","Male","Young adults","Property","Mass Customer","No","79 Lighthouse Bay Lane",3082,"VIC",35
3202,554,"01- Champions","Male","Young adults","Financial Services","Mass Customer","Yes","778 7th Parkway",2071,"NSW",74
1858,455,"01- Champions","Female","Seniors","Manufacturing","High Net Worth","Yes","41 Eagan Junction",2570,"NSW",30
2109,555,"01- Champions","Female","Mature adults","Health","High Net Worth","Yes","7 Porter Parkway",2261,"NSW",14
363,445,"01- Champions","Female","Middle adults","Retail","Mass Customer","Yes","93583 Moland Way",2066,"NSW",82
2476,555,"01- Champions","Male","Seniors","Property","High Net Worth","No","567 Scott Park",4118,"QLD",13
1332,455,"01- Champions","Male","Middle adults","","Mass Customer","Yes","7 Canary Trail",3977,"VIC",87
1428,455,"01- Champions","Female","Young adults","Retail","High Net Worth","No","1231 Grim Road",2760,"NSW",93
395,445,"01- Champions","Male","Middle adults","Retail","High Net Worth","Yes","3 Valley Edge Trail",3444,"VIC",28
195,555,"01- Champions","Female","Seniors","Manufacturing","Mass Customer","No","43 Upham Crossing",3143,"VIC",34
2705,555,"01- Champions","Female","Young adults","Manufacturing","Mass Customer","No","7107 Manitowish Road",4815,"QLD",11
478,554,"01- Champions","Female","Mature adults","","Affluent Customer","Yes","84041 Holy Cross Circle",2142,"NSW",65
2686,455,"01- Champions","Male","Young adults","Financial Services","Affluent Customer","No","16639 Bunting Circle",3174,"VIC",63
2653,555,"01- Champions","Male","Young adults","Health","Affluent Customer","No","7163 2nd Point",3931,"VIC",80
3344,544,"01- Champions","Female","Young adults","","Affluent Customer","Yes","21230 Tomscot Lane",2093,"NSW",66
2400,455,"01- Champions","Male","Middle adults","Property","Mass Customer","Yes","846 Carberry Street",4218,"QLD",73
396,445,"01- Champions","Female","Mature adults","Telecommunications","High Net Worth","Yes","32 Farragut Avenue",2076,"NSW",98
2138,455,"01- Champions","Female","Middle adults","Manufacturing","High Net Worth","No","1861 Golf Course Circle",2216,"NSW",23
1300,445,"01- Champions","Female","Young adults","Financial Services","Affluent Customer","Yes","408 Grover Place",4165,"QLD",0
3337,555,"01- Champions","Male","Middle adults","Agriculture","Mass Customer","Yes","6933 Leroy Parkway",4209,"QLD",58
377,554,"01- Champions","Male","Young adults","Agriculture","Mass Customer","No","259 Barnett Crossing",2265,"NSW",65
2796,544,"01- Champions","Female","Middle adults","Manufacturing","Mass Customer","No","149 Browning Terrace",2343,"NSW",52
197,454,"01- Champions","Female","Middle adults","","High Net Worth","No","8890 Golden Leaf Street",2063,"NSW",32
3326,455,"01- Champions","Male","Middle adults","Manufacturing","High Net Worth","Yes","18118 Maple Wood Crossing",2763,"NSW",83
3427,554,"01- Champions","Male","Middle adults","Financial Services","Mass Customer","Yes","Walton Court",2226,"NSW",67
174,555,"01- Champions","Female","Young adults","Health","Mass Customer","No","6898 Redwing Park",2148,"NSW",93
2260,445,"01- Champions","Male","Mature adults","Agriculture","High Net Worth","No","40 Rigney Street",2200,"NSW",38
2799,455,"01- Champions","Female","Middle adults","","Mass Customer","Yes","7 Sunbrook Terrace",2200,"NSW",80
180,554,"01- Champions","Female","Middle adults","Agriculture","Affluent Customer","No","216 Barnett Junction",4120,"QLD",16
534,555,"01- Champions","Female","Seniors","","Mass Customer","No","46 Eastlawn Lane",2218,"NSW",2
307,454,"01- Champions","Male","Middle adults","Health","Affluent Customer","Yes","93 Lawn Park",3152,"VIC",55
1554,445,"01- Champions","Male","Young adults","Retail","Affluent Customer","No","277 Maple Circle",2768,"NSW",83
1863,445,"01- Champions","Male","Middle adults","Telecommunications","High Net Worth","No","904 Mandrake Parkway",2820,"NSW",10
3470,555,"01- Champions","Female","Mature adults","Health","Affluent Customer","Yes","176 Sutteridge Alley",3121,"VIC",56
2851,544,"01- Champions","Male","Middle adults","Entertainment","Affluent Customer","Yes","11035 Toban Lane",2770,"NSW",36
2841,445,"01- Champions","Female","Mature adults","","Mass Customer","No","7 Buhler Drive",2142,"NSW",19
381,555,"01- Champions","Female","Young adults","","Affluent Customer","No","10 Namekagon Parkway",2062,"NSW",99
823,445,"01- Champions","Female","Young adults","Manufacturing","Affluent Customer","No","388 Weeping Birch Plaza",2156,"NSW",91
3169,545,"01- Champions","Male","Mature adults","IT","Mass Customer","Yes","398 Butternut Place",3027,"VIC",96
593,544,"01- Champions","Male","Middle adults","","Mass Customer","No","8435 Arkansas Terrace",2340,"NSW",64
2606,555,"01- Champions","Female","Middle adults","Manufacturing","High Net Worth","No","906 Toban Lane",2093,"NSW",56
3467,545,"01- Champions","Male","Middle adults","IT","Mass Customer","No","682 Claremont Circle",4350,"QLD",31
2986,455,"01- Champions","Male","Middle adults","Financial Services","Mass Customer","No","130 Thompson Plaza",2199,"NSW",60
498,545,"01- Champions","Female","Middle adults","Manufacturing","High Net Worth","Yes","470 Bunting Center",2447,"NSW",58
52,545,"01- Champions","Male","Middle adults","Financial Services","Mass Customer","Yes","9 Michigan Terrace",2145,"NSW",57
50,455,"01- Champions","Male","Middle adults","Manufacturing","Mass Customer","Yes","957 Veith Junction",2047,"NSW",38
87,454,"01- Champions","Male","Middle adults","Financial Services","Mass Customer","No","4423 Bartelt Parkway",2038,"NSW",78
1076,555,"01- Champions","Male","Young adults","Health","Affluent Customer","No","44 Ramsey Road",2515,"NSW",33
1591,455,"01- Champions","Male","Middle adults","Manufacturing","Mass Customer","Yes","54 Veith Drive",2073,"NSW",4
1551,445,"01- Champions","Female","Middle adults","Entertainment","Affluent Customer","No","8 Boyd Road",2075,"NSW",37
1792,555,"01- Champions","Male","Middle adults","Financial Services","Mass Customer","No","2 Spohn Court",2750,"NSW",1
995,545,"01- Champions","Male","Mature adults","Health","Mass Customer","Yes","31369 Meadow Valley Road",4034,"QLD",16
3262,554,"01- Champions","Male","Mature adults","Entertainment","Mass Customer","No","2558 Morningstar Center",4221,"QLD",65
1303,544,"01- Champions","Male","Middle adults","Agriculture","Mass Customer","No","917 Golf View Parkway",4217,"QLD",64
2095,455,"01- Champions","Female","Young adults","Manufacturing","Affluent Customer","No","158 Lindbergh Crossing",3136,"VIC",69
1817,454,"01- Champions","Male","Middle adults","","High Net Worth","No","5510 Pepper Wood Street",3429,"VIC",32
1007,454,"01- Champions","Male","Young adults","Retail","Mass Customer","No","2 Vermont Avenue",2066,"NSW",58
1540,544,"01- Champions","Female","Mature adults","Property","Mass Customer","Yes","8 Monument Junction",2154,"NSW",53
815,445,"01- Champions","Female","Middle adults","Manufacturing","Mass Customer","Yes","25689 Eastlawn Crossing",2067,"NSW",47
374,545,"01- Champions","Male","Young adults","Financial Services","Mass Customer","Yes","1823 Judy Center",3165,"VIC",81
1346,455,"01- Champions","Male","Middle adults","Telecommunications","Mass Customer","No","5 Springview Terrace",3620,"VIC",9
668,544,"01- Champions","Female","Mature adults","Health","Mass Customer","No","186 Shasta Avenue",2066,"NSW",61
8,455,"01- Champions","Male","Mature adults","","Mass Customer","No","49 Londonderry Lane",2650,"NSW",31
1033,555,"01- Champions","Male","Young adults","","Affluent Customer","Yes","5549 Bay Point",4068,"QLD",70
2816,555,"01- Champions","Female","Young adults","Financial Services","Mass Customer","Yes","515 Warrior Pass",4226,"QLD",87
322,555,"01- Champions","Female","Middle adults","Financial Services","Mass Customer","Yes","5 Schurz Place",4350,"QLD",19
2367,445,"01- Champions","Male","Seniors","Manufacturing","Mass Customer","Yes","5 Columbus Crossing",3040,"VIC",40
877,455,"01- Champions","Female","Middle adults","Financial Services","Mass Customer","Yes","29 Springview Place",2177,"NSW",92
725,555,"01- Champions","Male","Mature adults","Health","High Net Worth","Yes","29639 Porter Center",4221,"QLD",61
3433,555,"01- Champions","Female","Young adults","Property","Mass Customer","No","82 Warrior Hill",3174,"VIC",10
721,545,"01- Champions","Female","Young adults","","Affluent Customer","Yes","6 Fulton Road",3174,"VIC",84
1014,544,"01- Champions","Male","Mature adults","Property","Mass Customer","Yes","9 Macpherson Avenue",2527,"NSW",60
2509,454,"01- Champions","Male","Middle adults","Financial Services","Mass Customer","No","53 Anthes Point",4341,"QLD",99
80,455,"01- Champions","Male","Middle adults","Entertainment","Mass Customer","No","7 Jackson Point",3561,"VIC",11
1696,455,"01- Champions","Male","Young adults","Entertainment","High Net Worth","No","367 Algoma Lane",2153,"NSW",48
139,455,"01- Champions","Male","Mature adults","Telecommunications","Affluent Customer","No","215 Lindbergh Trail",4401,"QLD",1
2132,455,"01- Champions","Female","Middle adults","Financial Services","High Net Worth","Yes","7518 Canary Parkway",2145,"NSW",16
3375,554,"01- Champions","Male","Young adults","Financial Services","High Net Worth","Yes","2782 Stephen Trail",2216,"NSW",37
